feature1,feature2,correlation
serving_cell_snr_1,serving_cell_rssi_1,1.0
orientation_y,twist_angular_z,1.0
orientation_x,line_of_sight,1.0
orientation_x,obstacles_sum,1.0
orientation_y,orientation_z,1.0
orientation_y,orientation_w,1.0
orientation_y,twist_linear_x,1.0
orientation_y,twist_linear_y,1.0
orientation_y,twist_linear_z,1.0
orientation_y,twist_angular_x,1.0
orientation_y,twist_angular_y,1.0
orientation_y,distance_to_bs,1.0
orientation_x,twist_angular_z,1.0
orientation_y,line_of_sight,1.0
orientation_y,obstacles_sum,1.0
orientation_z,orientation_w,1.0
orientation_z,twist_linear_x,1.0
orientation_z,twist_linear_y,1.0
orientation_z,twist_linear_z,1.0
orientation_z,twist_angular_x,1.0
orientation_z,twist_angular_y,1.0
orientation_z,twist_angular_z,1.0
orientation_x,distance_to_bs,1.0
orientation_x,twist_angular_y,1.0
position_y,line_of_sight,1.0
position_z,twist_angular_z,1.0
position_z,orientation_x,1.0
position_z,orientation_y,1.0
position_z,orientation_z,1.0
position_z,orientation_w,1.0
position_z,twist_linear_x,1.0
position_z,twist_linear_y,1.0
position_z,twist_linear_z,1.0
position_z,twist_angular_x,1.0
position_z,twist_angular_y,1.0
position_z,distance_to_bs,1.0
orientation_x,twist_angular_x,1.0
position_z,line_of_sight,1.0
position_z,obstacles_sum,1.0
Latitude,Longitude,1.0
orientation_x,orientation_y,1.0
orientation_x,orientation_z,1.0
orientation_x,orientation_w,1.0
orientation_x,twist_linear_x,1.0
orientation_x,twist_linear_y,1.0
orientation_x,twist_linear_z,1.0
orientation_z,distance_to_bs,1.0
orientation_z,line_of_sight,1.0
orientation_z,obstacles_sum,1.0
twist_angular_x,line_of_sight,1.0
twist_linear_z,twist_angular_x,1.0
twist_linear_z,twist_angular_y,1.0
twist_linear_z,twist_angular_z,1.0
twist_linear_z,distance_to_bs,1.0
twist_linear_z,line_of_sight,1.0
twist_linear_z,obstacles_sum,1.0
twist_angular_x,twist_angular_y,1.0
twist_angular_x,twist_angular_z,1.0
twist_angular_x,distance_to_bs,1.0
twist_angular_x,obstacles_sum,1.0
orientation_w,twist_linear_x,1.0
twist_angular_y,twist_angular_z,1.0
twist_angular_y,distance_to_bs,1.0
twist_angular_y,line_of_sight,1.0
twist_angular_y,obstacles_sum,1.0
twist_angular_z,distance_to_bs,1.0
twist_angular_z,line_of_sight,1.0
twist_angular_z,obstacles_sum,1.0
distance_to_bs,line_of_sight,1.0
distance_to_bs,obstacles_sum,1.0
twist_linear_y,obstacles_sum,1.0
twist_linear_y,line_of_sight,1.0
twist_linear_y,distance_to_bs,1.0
twist_linear_y,twist_angular_z,1.0
orientation_w,twist_linear_y,1.0
orientation_w,twist_linear_z,1.0
orientation_w,twist_angular_x,1.0
orientation_w,twist_angular_y,1.0
orientation_w,twist_angular_z,1.0
orientation_w,distance_to_bs,1.0
orientation_w,line_of_sight,1.0
orientation_w,obstacles_sum,1.0
twist_linear_x,twist_linear_y,1.0
twist_linear_x,twist_linear_z,1.0
twist_linear_x,twist_angular_x,1.0
twist_linear_x,twist_angular_y,1.0
twist_linear_x,twist_angular_z,1.0
twist_linear_x,distance_to_bs,1.0
twist_linear_x,line_of_sight,1.0
twist_linear_x,obstacles_sum,1.0
twist_linear_y,twist_linear_z,1.0
twist_linear_y,twist_angular_x,1.0
twist_linear_y,twist_angular_y,1.0
position_y,obstacles_sum,1.0
position_y,distance_to_bs,1.0
ping_size_bytes,icmp_seq,1.0
position_y,twist_angular_z,1.0
jitter_UL,cell_load_UL,1.0
jitter_DL,throughput_DL,1.0
jitter_DL,target_DL,1.0
jitter_DL,cell_load_DL,1.0
ping_size_bytes,ping_ms,1.0
ping_size_bytes,ttl,1.0
ping_ms,ttl,1.0
jitter_UL,throughput_UL,1.0
ping_ms,icmp_seq,1.0
ttl,icmp_seq,1.0
jitter_client,datarate_client,1.0
jitter_server,datarate_server,1.0
throughput_UL,target_UL,1.0
throughput_UL,cell_load_UL,1.0
jitter_UL,target_UL,1.0
RSRQ(dB),RSRP(dBm),1.0
UE_UL,UE_DL,1.0
E-ARFCN,Number of Neighbor Cells,1.0
serving_cell_rsrq_1,serving_cell_rsrp_1,1.0
serving_cell_id,E-ARFCN,1.0
serving_cell_id,Number of Neighbor Cells,1.0
serving_cell_id,Number of Detected Cells,1.0
serving_cell_id,RSRQ(dB),1.0
serving_cell_id,RSRP(dBm),1.0
E-ARFCN,Number of Detected Cells,1.0
Number of Detected Cells,RSRP(dBm),1.0
E-ARFCN,RSRQ(dB),1.0
E-ARFCN,RSRP(dBm),1.0
Number of Neighbor Cells,Number of Detected Cells,1.0
Number of Neighbor Cells,RSRQ(dB),1.0
Number of Neighbor Cells,RSRP(dBm),1.0
Number of Detected Cells,RSRQ(dB),1.0
target_UL,cell_load_UL,1.0
line_of_sight,obstacles_sum,1.0
position_y,twist_linear_x,1.0
position_x,orientation_z,1.0
position_x,twist_linear_y,1.0
position_x,twist_linear_x,1.0
position_y,twist_linear_y,1.0
position_y,twist_angular_y,1.0
position_y,twist_angular_x,1.0
position_y,twist_linear_z,1.0
position_x,twist_angular_x,1.0
position_x,twist_angular_y,1.0
position_x,twist_angular_z,1.0
position_x,distance_to_bs,1.0
position_x,line_of_sight,1.0
position_x,orientation_w,1.0
position_x,orientation_y,1.0
position_x,orientation_x,1.0
position_x,position_z,1.0
position_x,position_y,1.0
position_x,obstacles_sum,1.0
position_y,position_z,1.0
position_y,orientation_x,1.0
position_y,orientation_y,1.0
target_DL,cell_load_DL,1.0
position_y,orientation_z,1.0
position_y,orientation_w,1.0
throughput_DL,cell_load_DL,1.0
throughput_DL,target_DL,1.0
position_x,twist_linear_z,1.0
serving_cell_rssi_1,serving_cell_rsrp_1,0.9999518838007919
serving_cell_snr_1,serving_cell_rsrq_1,0.9999518838007919
serving_cell_snr_1,serving_cell_rsrp_1,0.9999518838007919
serving_cell_rssi_1,serving_cell_rsrq_1,0.9999518838007919
delay_std_DL,delay_mean_DL,0.9999232076632123
delay_std_UL,delay_mean_UL,0.9966433513657542
jitter_server,datarate_client,0.9966101866939798
jitter_client,datarate_server,0.9966101866939798
jitter_client,jitter_server,0.9966101866939798
datarate_client,datarate_server,0.9966101866939798
delay_std_DL,throughput_DL,0.9727742407415689
delay_std_DL,jitter_DL,0.9727742407415689
delay_std_DL,cell_load_DL,0.9727742407415689
delay_std_DL,target_DL,0.9727742407415689
delay_mean_DL,jitter_DL,0.9727727967906739
delay_mean_DL,target_DL,0.9727727967906739
delay_mean_DL,cell_load_DL,0.9727727967906739
delay_mean_DL,throughput_DL,0.9727727967906739
delay_std_UL,jitter_UL,0.9630161428774703
delay_std_UL,throughput_UL,0.9630161428774703
delay_std_UL,target_UL,0.9630161428774703
delay_std_UL,cell_load_UL,0.9630161428774703
delay_mean_UL,cell_load_UL,0.9625461192606279
delay_mean_UL,jitter_UL,0.9625461192606279
delay_mean_UL,throughput_UL,0.9625461192606279
delay_mean_UL,target_UL,0.9625461192606279
UE_UL,Longitude,0.9477245824832777
UE_DL,Longitude,0.9477245824832777
UE_DL,Latitude,0.9477245824832777
UE_UL,Latitude,0.9477245824832777
